CMTE_ID,AMNDT_IND,RPT_TP,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TP,ENTITY_TP,NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DT,TRANSACTION_AMT,OTHER_ID,CAND_ID,TRAN_ID,FILE_NUM,MEMO_CD,MEMO_TEXT,SUB_ID,YEAR,CMTE_NM,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_ST1,CAND_ST2,CAND_CITY,CAND_ST,CAND_ZIP,CAND_LAST_NAME
C00197228,N,M2,G2024,202302179578662792,24K,CCM,BANKS FOR SENATE,FORT WAYNE,IN,468581431.0,,,1102023.0,5000,C00577999,S4IN00196,AB32FA8DC91334FC284,1689642,,,4021720231732323656,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","BANKS, JAMES E. HON.",REP,2024.0,IN,S,0.0,O,C,C00577999,PO BOX 11431,,FORT WAYNE,IN,46858.0,BANKS
C00197228,N,M2,P2024,202302179578662792,24K,CCM,BANKS FOR SENATE,FORT WAYNE,IN,468581431.0,,,1102023.0,5000,C00577999,S4IN00196,B3AF6A2AE3B7F19B753,1689642,,,4021720231732323657,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","BANKS, JAMES E. HON.",REP,2024.0,IN,S,0.0,O,C,C00577999,PO BOX 11431,,FORT WAYNE,IN,46858.0,BANKS
C00197228,N,M2,G2024,202302179578662793,24K,CCM,BOB CASEY FOR SENATE INC,PHILADELPHIA,PA,19102.0,,,1202023.0,2500,C00431056,S6PA00217,C17DF25A66D56C1A531,1689642,,,4021720231732323659,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","CASEY, ROBERT P. JR.",DEM,2024.0,PA,S,0.0,I,C,C00431056,PO BOX 58746,,PHILADELPHIA,PA,19102.0,CASEY
C00197228,N,M2,P2024,202302179578662793,24K,CCM,CATHY MCMORRIS RODGERS FOR CONGRESS,SPOKANE,WA,992100137.0,,,1252023.0,2500,C00390476,H4WA05077,B7958F38E47508877BC,1689642,,,4021720231732323660,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","MCMORRIS RODGERS, CATHY",REP,2024.0,WA,H,5.0,I,C,C00390476,PO BOX 137,,SPOKANE,VA,992100137.0,MCMORRIS RODGERS
C00197228,N,M2,P2024,202302179578662795,24K,CCM,GARBARINO FOR CONGRESS,BAYPORT,NY,11705.0,,,1252023.0,5000,C00729954,H0NY02234,62BB2FFAB82CC3ECDAE,1689642,,,4021720231732323666,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","GARBARINO, ANDREW",REP,2024.0,NY,H,2.0,I,C,C00729954,234 FAIRVIEW AVE,,BAYPORT,VA,11705.0,GARBARINO
C00197228,N,M2,P2024,202302179578662796,24K,CCM,GUTHRIE FOR CONGRESS,BOWLING GREEN,KY,421029639.0,,,1252023.0,1000,C00445023,H8KY02031,BBF0EF445E41607D1C6,1689642,,,4021720231732323667,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","GUTHRIE, S. BRETT HON.",REP,2024.0,KY,H,2.0,I,C,C00445023,P.O. BOX 22401,,LOUISVILLE,KY,40252.0,GUTHRIE
C00197228,N,M2,P2024,202302179578662801,24K,CCM,STRICKLAND FOR WASHINGTON,TACOMA,WA,98404.0,,,1252023.0,2500,C00732826,H0WA10034,C13B408576A5352E00F,1689642,,,4021720231732323684,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","STRICKLAND, MARILYN",DEM,2024.0,WA,H,10.0,I,C,C00732826,4250 MARTIN WAY E,"STE 105, PMB 163",OLYMPIA,WA,98516.0,STRICKLAND
C00197228,N,M2,P2024,202302179578662802,24K,CCM,TONY CARDENAS FOR CONGRESS,WASHINGTON,DC,20003.0,,,1252023.0,5000,C00498873,H2CA28113,4A085F0B5B81EFF588A,1689642,,,4021720231732323685,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","CARDENAS, TONY",DEM,2024.0,CA,H,29.0,I,C,C00498873,122 C ST NW,STE 360,WASHINGTON,DC,20001.0,CARDENAS
C00197228,N,M2,P2024,202302179578662802,24K,CCM,VICTORIA SPARTZ FOR CONGRESS,NOBLESVILLE,IN,46061.0,,,1102023.0,5000,C00737767,H0IN05326,2EB556EBBC1D2DF4C06,1689642,,,4021720231732323686,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","SPARTZ, VICTORIA",REP,2024.0,IN,H,5.0,I,C,C00737767,PO BOX 505,,NOBLESVILLE,IN,46061.0,SPARTZ
C00197228,N,M2,G2024,202302179578662802,24K,CCM,VICTORIA SPARTZ FOR CONGRESS,NOBLESVILLE,IN,46061.0,,,1102023.0,5000,C00737767,H0IN05326,D3DE733F507C8EC070D,1689642,,,4021720231732323687,2023-2024,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","SPARTZ, VICTORIA",REP,2024.0,IN,H,5.0,I,C,C00737767,PO BOX 505,,NOBLESVILLE,IN,46061.0,SPARTZ
