CAND_LAST_NAME,CAND_VOTE,CMTE_ID,AMNDT_IND,RPT_TP,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TP,ENTITY_TP,NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DT,TRANSACTION_AMT,OTHER_ID,CAND_ID,TRAN_ID,FILE_NUM,MEMO_CD,MEMO_TEXT,SUB_ID,YEAR,CMTE_NM,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST_p,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_ST1,CAND_ST2,CAND_CITY,CAND_ST,CAND_ZIP,YEAR_END,PAC
BALDWIN,yea,C00397851,A,M5,P2024,2.0230829959684976e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,WASHINGTON,DC,20003.0,,,4282023.0,2500.0,C00326801,S2WI00219,B845776,1723837.0,,,4.083020231800936e+18,2023-2024,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2024.0,Centene
BALDWIN,yea,C00274431,N,M3,P2018,2.0170320905091107e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,2212017.0,2500.0,C00326801,S2WI00219,40592157,1153320.0,,CONTRIBUTION,4.0322201713804027e+18,2017-2018,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2018.0,United Health
BALDWIN,yea,C00274431,N,M5,G2018,2.0170519905403533e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,4242017.0,1000.0,C00326801,S2WI00219,40806846,1163490.0,,CONTRIBUTION,4.052220171405568e+18,2017-2018,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2018.0,United Health
BALDWIN,yea,C00197228,N,12G,G2018,2.0181024913083277e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,10102018.0,2500.0,C00326801,S2WI00219,2624C50B514A4E23984,1279942.0,,,4.111920181618138e+18,2017-2018,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2018.0,Elevance
BALDWIN,yea,C00384818,N,12G,G2018,2.0181024913083027e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,10022018.0,2500.0,C00326801,S2WI00219,87D866EB0A226214ED2,1279851.0,,,4.111920181618137e+18,2017-2018,CVS HEALTH PAC,"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2018.0,CVS Aetna
BALDWIN,yea,C00271007,N,M7,P2018,2.015071790002666e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,6222015.0,1000.0,C00326801,S2WI00219,0D168DE01800C2DBA29,1016260.0,,,4.0717201512474706e+18,2015-2016,HUMANA INC. POLITICAL ACTION COMMITTEE,"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2016.0,Humana
BALDWIN,yea,C00271007,N,M4,P2018,2.016041890125744e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,3142016.0,2500.0,C00326801,S2WI00219,D927328E32798F70CDE,1064638.0,,,4.0426201612842824e+18,2015-2016,HUMANA INC. POLITICAL ACTION COMMITTEE,"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2016.0,Humana
BALDWIN,yea,C00274431,N,M9,P2018,2.016091690308391e+17,24K,CCM,TAMMY BALDWIN FOR SENATE,MADISON,WI,53701.0,,,8182016.0,2500.0,C00326801,S2WI00219,39862061,1099478.0,,CONTRIBUTION,4.0919201613172424e+18,2015-2016,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"BALDWIN, TAMMY",DEM,2018.0,WI,S,0.0,I,F,C00326801,,,MADISON,WI,,2016.0,United Health
BALDWIN,yea,C00271007,N,M11,P,29993358153.0,24K,CCM,TAMMY BALDWIN FOR CONGRESS,MADISON,WI,53701.0,,,10262009.0,1000.0,C00326801,H8WI00018,639F3A8CAC7AEA44DCF,440205.0,,,4.1130200911216097e+18,2009-2010,HUMANA INC. POLITICAL ACTION COMMITTEE,"BALDWIN, TAMMY",DEM,2000.0,WI,H,2.0,I,C,C00326801,525 RIVERSIDE DR,,MADISON,WI,53704.0,2010.0,Humana
BALDWIN,yea,C00397851,N,12G,G,10931626696.0,24K,CCM,TAMMY BALDWIN FOR CONGRESS,MADISON,WI,53701.0,,,10042010.0,1000.0,C00326801,H8WI00018,B368589,506964.0,,,4.1210201011324856e+18,2009-2010,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),"BALDWIN, TAMMY",DEM,2000.0,WI,H,2.0,I,C,C00326801,525 RIVERSIDE DR,,MADISON,WI,53704.0,2010.0,Centene
